cutoff,mae_test,rmse_test,n_curves,n_runs
10,4.808455944061279,6.531418323516846,274,16
11,4.843779563903809,6.552403926849365,274,16
12,4.4799017906188965,6.269883155822754,274,16
13,4.144424915313721,6.052379131317139,274,16
14,3.8124823570251465,5.75188684463501,274,16
15,3.535614490509033,5.440321445465088,274,16
16,3.3411617279052734,5.156237602233887,274,16
17,3.264417886734009,5.070168495178223,274,16
18,3.1159183979034424,4.992780685424805,274,16
19,2.9763071537017822,4.942715167999268,274,16
20,2.987583875656128,4.8630757331848145,274,16
21,2.805577278137207,4.717304229736328,274,16
22,2.749354362487793,4.648212909698486,274,16
23,2.7599830627441406,4.6333489418029785,274,16
24,2.7330784797668457,4.590240955352783,274,16
25,2.8030283451080322,4.666898727416992,274,16
26,2.8612287044525146,4.7542290687561035,274,16
27,2.8842663764953613,4.747840404510498,274,16
28,2.7696409225463867,4.526427268981934,274,16
29,2.8750689029693604,4.600005149841309,274,16
30,2.88852596282959,4.543351650238037,274,16
31,2.880653142929077,4.382938861846924,274,16
32,3.1788132190704346,5.22109317779541,267,14
33,3.2420880794525146,5.256375312805176,267,14
34,3.3016350269317627,5.317404747009277,267,14
35,3.1535067558288574,5.0634331703186035,267,14
36,4.724642753601074,7.330565929412842,257,12
37,4.853928089141846,7.564207553863525,257,12
38,5.0728440284729,7.98016357421875,257,12
39,5.0925822257995605,8.033225059509277,257,12
40,5.1741838455200195,8.172393798828125,257,12
